,tpm
AC005832.4,18.7781
AC005833.1,6.8463
AC005833.2,0.989165
AC005837.1,0.144107
AC005837.2,0
AC005837.3,0
AC005838.1,0
AC005838.2,2.04685
AC005839.1,0
AC005840.1,0
AC005840.2,0.0208243
AC005840.3,0.0373835
AC005840.4,4.53045
AC005841.1,0
AC005842.1,0.404172
AC005845.1,0.0721194
AC005856.1,0.628159
AC005858.1,0
AC005858.2,0
AC005858.3,0
AC005863.1,0.0901479
AC005865.1,0.0119303
AC005865.2,0.3002541
AC005868.1,0
AC005871.1,0
AC005871.2,0
AC005884.1,0
AC005884.2,0
AC005899.1,1.1714
AC005899.2,0
AC005899.3,0.182768
AC005899.4,0
AC005899.5,1.24532
AC005899.6,6.36228
AC005899.7,0.321495
AC005899.8,0.54013
AC005901.1,0
AC005906.1,0.0895146
AC005906.2,0.25163958
AC005906.3,0
AC005908.1,0
AC005908.2,0
AC005909.1,0.145955
AC005911.1,0.904724
AC005912.1,2.55017
AC005912.2,0.0493393
AC005915.1,0
AC005920.1,0.0718791
AC005920.2,0
AC005920.3,0.358388
AC005920.4,0.160562
AC005921.1,0
AC005921.2,0
AC005921.3,0
AC005921.4,0
AC005943.1,5.78933
AC005943.2,0
AC005944.1,0
AC005951.1,0.0530159
AC005954.1,0.321156
AC005954.2,0.179521
AC005962.1,0.817101
AC005972.1,0
AC005972.2,0
AC005972.3,0
AC005993.1,0.379795
AC005996.1,0
AC005999.1,0.287319
AC005999.2,0
AC006001.1,0.0566976
AC006001.2,4.70249
AC006001.3,8.262622
AC006001.4,1.76097
AC006003.1,0
AC006004.1,0.393549
AC006006.1,0
AC006007.1,0
AC006011.1,8.94052
AC006011.2,0.0344176
AC006012.1,0.853542
AC006013.1,0.915576
AC006015.1,0
AC006017.1,0.265157
AC006019.1,0.249007
AC006019.2,0.00294096
AC006019.3,0
AC006020.1,0
AC006022.1,0
AC006023.1,0.173088
AC006023.2,0
AC006026.1,0.0103768
AC006026.2,0
AC006026.3,0
AC006027.1,1.52557
AC006028.1,0
AC006030.1,0.08571
AC006033.1,0.61001
AC006033.2,0.86631
AC006037.1,0
AC006037.2,0
AC006041.1,0
